driver,lap_number,compound,track_status,lap_time,position,gap_to_leader,final_position,pit_stop_count,speed_avg,throttle_pct,brake_pct,drs_pct,gear_avg,hard_brakes
VER,1.0,MEDIUM,124,101.571,4.0,3838.671,1.0,3,186.40414507772022,0.4896373056994819,0.17616580310880828,1.0,4.544041450777202,0
VER,2.0,MEDIUM,4,132.105,3.0,3970.776,1.0,3,143.76359832635984,0.25732217573221755,0.24267782426778242,1.0,3.271966527196653,0
VER,3.0,MEDIUM,41,130.657,3.0,4101.433,1.0,3,144.33887733887735,0.27442827442827444,0.2765072765072765,1.0,3.2037422037422036,0
VER,4.0,MEDIUM,1,83.391,3.0,4184.824,1.0,3,226.0506329113924,0.6487341772151899,0.16455696202531644,1.0,5.7025316455696204,0
VER,5.0,MEDIUM,1,83.104,3.0,4267.928,1.0,3,225.79746835443038,0.6487341772151899,0.16139240506329114,1.0,5.686708860759493,0
VER,6.0,MEDIUM,1,82.843,3.0,4350.771,1.0,3,227.71337579617835,0.6687898089171974,0.16560509554140126,0.4840764331210191,5.732484076433121,0
VER,7.0,MEDIUM,124,95.07,2.0,4445.841,1.0,3,199.62429378531073,0.4858757062146893,0.20056497175141244,0.751412429378531,4.915254237288136,0
VER,8.0,MEDIUM,451,,2.0,5526.797,1.0,3,17.019710578842314,0.006736526946107785,0.0531437125748503,1.0,0.35753493013972054,0
VER,9.0,HARD,1,,2.0,5748.176,1.0,3,83.644128113879,0.11862396204033215,0.36892052194543296,1.0,1.8125741399762751,0
VER,10.0,HARD,1,87.827,2.0,5836.003,1.0,3,215.12951807228916,0.641566265060241,0.18072289156626506,1.0,5.274096385542169,0
VER,11.0,HARD,1,83.46,2.0,5919.463,1.0,3,226.02208201892745,0.6908517350157729,0.15141955835962145,1.0,5.700315457413249,0
VER,12.0,HARD,1,81.994,1.0,6001.457,1.0,3,228.01016949152543,0.6677966101694915,0.1694915254237288,0.3525423728813559,5.715254237288136,0
VER,13.0,HARD,1,83.286,1.0,6084.743,1.0,3,224.56129032258065,0.6419354838709678,0.14516129032258066,0.0,5.687096774193549,0
