driver,lap_number,compound,track_status,lap_time,position,gap_to_leader,final_position,pit_stop_count,speed_avg,throttle_pct,brake_pct,drs_pct,gear_avg,hard_brakes
VER,1.0,MEDIUM,12,84.238,1.0,3807.435,1.0,1,142.14067278287462,0.327217125382263,0.2691131498470948,1.0,3.3363914373088686,0
VER,2.0,MEDIUM,1,79.367,1.0,3886.802,1.0,1,147.5974025974026,0.31493506493506496,0.24025974025974026,1.0,3.5194805194805197,0
VER,3.0,MEDIUM,1,79.074,1.0,3965.876,1.0,1,151.61666666666667,0.35333333333333333,0.25666666666666665,0.10333333333333333,3.68,0
VER,4.0,MEDIUM,1,78.129,1.0,4044.005,1.0,1,151.86713286713288,0.32867132867132864,0.2517482517482518,0.0,3.702797202797203,0
VER,5.0,MEDIUM,1,78.019,1.0,4122.024,1.0,1,150.02341137123747,0.3377926421404682,0.24414715719063546,0.0,3.5953177257525084,0
VER,6.0,MEDIUM,1,77.64,1.0,4199.664,1.0,1,149.99653979238755,0.32525951557093424,0.2664359861591695,0.0,3.6470588235294117,0
VER,7.0,MEDIUM,1,77.633,1.0,4277.297,1.0,1,151.46127946127947,0.3265993265993266,0.24915824915824916,0.0,3.723905723905724,0
VER,8.0,MEDIUM,1,77.397,1.0,4354.694,1.0,1,154.16095890410958,0.3424657534246575,0.2602739726027397,0.0,3.7705479452054793,0
VER,9.0,MEDIUM,1,77.031,1.0,4431.725,1.0,1,154.69611307420496,0.35335689045936397,0.24381625441696114,0.0,3.756183745583039,0
VER,10.0,MEDIUM,1,77.084,1.0,4508.809,1.0,1,154.7750865051903,0.35986159169550175,0.25259515570934254,0.0,3.795847750865052,0
VER,11.0,MEDIUM,1,76.858,1.0,4585.667,1.0,1,152.88698630136986,0.3527397260273973,0.23972602739726026,0.0,3.702054794520548,0
VER,12.0,MEDIUM,12,76.993,1.0,4662.66,1.0,1,152.32291666666666,0.3368055555555556,0.25,0.0,3.7083333333333335,0
VER,13.0,MEDIUM,21,77.434,1.0,4740.094,1.0,1,152.5758620689655,0.3310344827586207,0.24482758620689654,0.0,3.689655172413793,0
VER,14.0,MEDIUM,12,77.065,1.0,4817.159,1.0,1,153.29109589041096,0.3527397260273973,0.2363013698630137,0.0,3.708904109589041,0
VER,15.0,MEDIUM,21,77.079,1.0,4894.238,1.0,1,152.72569444444446,0.34375,0.23958333333333334,0.0,3.7152777777777777,0
VER,16.0,MEDIUM,1,76.824,1.0,4971.062,1.0,1,154.18729096989966,0.35785953177257523,0.25752508361204013,0.0,3.702341137123746,0
VER,17.0,MEDIUM,1,76.86,1.0,5047.922,1.0,1,153.61937716262975,0.3633217993079585,0.2491349480968858,0.0,3.7508650519031144,0
VER,18.0,MEDIUM,1,76.712,1.0,5124.634,1.0,1,153.64236111111111,0.34375,0.2534722222222222,0.0,3.7430555555555554,0
VER,19.0,MEDIUM,1,76.823,1.0,5201.457,1.0,1,153.37894736842105,0.3473684210526316,0.24210526315789474,0.0,3.736842105263158,0
VER,20.0,MEDIUM,1,77.214,1.0,5278.671,1.0,1,152.986531986532,0.3501683501683502,0.25252525252525254,0.013468013468013467,3.7306397306397305,0
VER,21.0,MEDIUM,1,76.803,1.0,5355.474,1.0,1,153.72542372881355,0.36271186440677966,0.2576271186440678,0.0,3.7288135593220337,0
VER,22.0,MEDIUM,1,76.659,1.0,5432.133,1.0,1,154.42402826855124,0.35335689045936397,0.254416961130742,0.0,3.7208480565371023,0
VER,23.0,MEDIUM,1,76.604,1.0,5508.737,1.0,1,154.01393728222996,0.3623693379790941,0.25435540069686413,0.0,3.710801393728223,0
