driver,lap_number,compound,track_status,lap_time,position,gap_to_leader,final_position,pit_stop_count,speed_avg,throttle_pct,brake_pct,drs_pct,gear_avg,hard_brakes
VER,1.0,MEDIUM,1,83.08,1.0,3808.801,1.0,2,188.12422360248448,0.5900621118012422,0.17080745341614906,1.0,4.726708074534161,0
VER,2.0,MEDIUM,1,78.075,1.0,3886.876,1.0,2,199.47058823529412,0.6020761245674741,0.18339100346020762,1.0,5.107266435986159,0
VER,3.0,MEDIUM,1,77.767,1.0,3964.643,1.0,2,200.52649006622516,0.5927152317880795,0.17880794701986755,0.009933774834437087,5.158940397350993,0
VER,4.0,MEDIUM,1,77.203,1.0,4041.846,1.0,2,200.12758620689655,0.6241379310344828,0.16896551724137931,0.0,5.141379310344828,0
VER,5.0,MEDIUM,1,77.371,1.0,4119.217,1.0,2,198.2896551724138,0.603448275862069,0.18275862068965518,0.0,5.113793103448276,0
VER,6.0,MEDIUM,1,77.607,1.0,4196.824,1.0,2,199.66326530612244,0.608843537414966,0.17346938775510204,0.0,5.119047619047619,0
VER,7.0,MEDIUM,12,77.565,1.0,4274.389,1.0,2,199.8430034129693,0.6109215017064846,0.18771331058020477,0.0,5.122866894197952,0
VER,8.0,MEDIUM,2671,92.655,1.0,4367.044,1.0,2,168.89972144846797,0.43175487465181056,0.25069637883008355,0.5571030640668524,4.155988857938719,0
VER,9.0,MEDIUM,1,77.495,1.0,4444.539,1.0,2,200.9551724137931,0.6103448275862069,0.19655172413793104,0.0,5.186206896551724,0
VER,10.0,MEDIUM,1,77.359,1.0,4521.898,1.0,2,201.43333333333334,0.6233333333333333,0.18333333333333332,0.0,5.193333333333333,0
VER,11.0,MEDIUM,1,77.268,1.0,4599.166,1.0,2,201.61428571428573,0.6142857142857143,0.18571428571428572,0.0,5.196428571428571,0
VER,12.0,MEDIUM,124,93.192,1.0,4692.358,1.0,2,165.68767908309457,0.4498567335243553,0.2177650429799427,0.3008595988538682,4.320916905444126,0
VER,13.0,HARD,4,149.911,1.0,4842.269,1.0,2,103.78392857142858,0.0625,0.2017857142857143,1.0,2.1392857142857142,0
VER,14.0,HARD,4,124.639,1.0,4966.908,1.0,2,124.11489361702128,0.18723404255319148,0.2680851063829787,1.0,2.623404255319149,0
VER,15.0,HARD,4,114.677,1.0,5081.585,1.0,2,136.29099307159353,0.26096997690531176,0.19168591224018475,1.0,3.032332563510393,0
VER,16.0,HARD,41,134.905,1.0,5216.49,1.0,2,116.65593561368209,0.18309859154929578,0.26961770623742454,1.0,2.5211267605633805,0
VER,17.0,HARD,1,77.145,1.0,5293.635,1.0,2,200.34602076124568,0.6193771626297578,0.18339100346020762,1.0,5.114186851211072,0
VER,18.0,HARD,1,76.682,1.0,5370.317,1.0,2,201.9554794520548,0.6061643835616438,0.1917808219178082,1.0,5.2020547945205475,0
VER,19.0,HARD,1,76.63,1.0,5446.947,1.0,2,202.5387323943662,0.6056338028169014,0.1795774647887324,0.03169014084507042,5.25,0
VER,20.0,HARD,1,76.607,1.0,5523.554,1.0,2,200.62199312714776,0.6013745704467354,0.1958762886597938,0.0,5.161512027491409,0
VER,21.0,HARD,1,76.652,1.0,5600.206,1.0,2,202.53496503496504,0.6293706293706294,0.17832167832167833,0.0,5.195804195804196,0
VER,22.0,HARD,1,76.697,1.0,5676.903,1.0,2,204.32014388489208,0.6546762589928058,0.17625899280575538,0.0,5.241007194244604,0
VER,23.0,HARD,1,76.946,1.0,5753.849,1.0,2,203.30107526881721,0.6308243727598566,0.1827956989247312,0.0,5.182795698924731,0
VER,24.0,HARD,1,76.641,1.0,5830.49,1.0,2,203.1772575250836,0.6387959866220736,0.18729096989966554,0.0,5.207357859531773,0
VER,25.0,HARD,1,76.643,1.0,5907.133,1.0,2,201.98986486486487,0.6385135135135135,0.17567567567567569,0.0,5.1858108108108105,0
VER,26.0,HARD,1,76.785,1.0,5983.918,1.0,2,204.13888888888889,0.6354166666666666,0.17708333333333334,0.0,5.225694444444445,0
VER,27.0,HARD,1,76.928,1.0,6060.846,1.0,2,203.54642857142858,0.6285714285714286,0.175,0.0,5.225,0
