driver,lap_number,compound,track_status,lap_time,position,gap_to_leader,final_position,pit_stop_count,speed_avg,throttle_pct,brake_pct,drs_pct,gear_avg,hard_brakes
VER,1.0,MEDIUM,124,111.344,1.0,3401.503,1.0,3,163.54676258992805,0.33093525179856115,0.21342925659472423,1.0,3.7649880095923263,0
VER,2.0,MEDIUM,4,141.257,1.0,3542.76,1.0,3,137.1433962264151,0.2037735849056604,0.28679245283018867,1.0,2.9452830188679244,0
VER,3.0,MEDIUM,4,137.39,1.0,3680.15,1.0,3,141.56679389312978,0.2633587786259542,0.2824427480916031,1.0,3.0076335877862594,0
VER,4.0,MEDIUM,41,,1.0,3833.242,1.0,3,126.10238907849829,0.24914675767918087,0.21160409556313994,1.0,2.6774744027303754,0
VER,5.0,MEDIUM,12,86.724,1.0,3919.966,1.0,3,223.90214067278288,0.6299694189602446,0.14678899082568808,1.0,5.4495412844036695,0
VER,6.0,MEDIUM,1,86.502,1.0,4006.468,1.0,3,223.93125,0.59375,0.146875,0.125,5.50625,0
VER,7.0,MEDIUM,1,86.376,1.0,4092.844,1.0,3,222.26934984520125,0.6037151702786377,0.1609907120743034,0.0,5.421052631578948,0
VER,8.0,MEDIUM,1,86.28,1.0,4179.124,1.0,3,225.6757575757576,0.6333333333333333,0.15151515151515152,0.0,5.5,0
VER,9.0,MEDIUM,1,86.2,1.0,4265.324,1.0,3,224.77607361963192,0.6349693251533742,0.12883435582822086,0.0,5.5030674846625764,0
VER,10.0,MEDIUM,1,85.973,1.0,4351.297,1.0,3,224.89846153846153,0.6276923076923077,0.13538461538461538,0.0,5.501538461538462,0
VER,11.0,MEDIUM,1,85.808,1.0,4437.105,1.0,3,225.0210843373494,0.608433734939759,0.14759036144578314,0.0,5.490963855421687,0
VER,12.0,MEDIUM,1,85.903,1.0,4523.008,1.0,3,225.33333333333334,0.6484848484848484,0.13333333333333333,0.0,5.496969696969697,0
VER,13.0,MEDIUM,1,85.843,1.0,4608.851,1.0,3,223.6276923076923,0.6276923076923077,0.15384615384615385,0.0,5.452307692307692,0
VER,14.0,MEDIUM,1,85.812,1.0,4694.663,1.0,3,225.47798742138366,0.6289308176100629,0.13836477987421383,0.0,5.5,0
VER,15.0,MEDIUM,1,85.698,1.0,4780.361,1.0,3,225.6771159874608,0.6394984326018809,0.14733542319749215,0.0,5.470219435736677,0
VER,16.0,MEDIUM,1,85.605,1.0,4865.966,1.0,3,226.37846153846155,0.6646153846153846,0.14153846153846153,0.0,5.483076923076923,0
VER,17.0,MEDIUM,1,85.46,1.0,4951.426,1.0,3,227.74528301886792,0.6729559748427673,0.14465408805031446,0.0,5.5,0
VER,18.0,MEDIUM,1,85.079,1.0,5036.505,1.0,3,228.0433436532508,0.6687306501547987,0.14551083591331268,0.0,5.585139318885449,0
VER,19.0,MEDIUM,1,85.309,1.0,5121.814,1.0,3,226.72644376899697,0.6717325227963525,0.12158054711246201,0.0,5.553191489361702,0
VER,20.0,MEDIUM,1,84.896,1.0,5206.71,1.0,3,227.19182389937106,0.7044025157232704,0.13836477987421383,0.0,5.60062893081761,0
VER,21.0,MEDIUM,1,84.97,1.0,5291.68,1.0,3,228.89939024390245,0.7042682926829268,0.13414634146341464,0.0,5.664634146341464,0
VER,22.0,MEDIUM,1,84.908,1.0,5376.588,1.0,3,228.67592592592592,0.6975308641975309,0.13580246913580246,0.0,5.672839506172839,0
VER,23.0,MEDIUM,1,84.856,1.0,5461.444,1.0,3,227.22985074626865,0.6686567164179105,0.14029850746268657,0.0,5.638805970149254,0
VER,24.0,MEDIUM,1,84.825,1.0,5546.269,1.0,3,229.66869300911853,0.6990881458966566,0.13677811550151975,0.0,5.686930091185411,0
VER,25.0,MEDIUM,1,84.702,1.0,5630.971,1.0,3,229.26791277258567,0.7009345794392523,0.12461059190031153,0.0,5.694704049844237,0
VER,26.0,MEDIUM,1,84.775,1.0,5715.746,1.0,3,228.35866261398175,0.6717325227963525,0.14285714285714285,0.0,5.683890577507599,0
VER,27.0,MEDIUM,1,84.72,1.0,5800.466,1.0,3,227.73394495412845,0.691131498470948,0.14678899082568808,0.0,5.654434250764526,0
VER,28.0,MEDIUM,1,84.719,1.0,5885.185,1.0,3,229.803125,0.69375,0.1375,0.0,5.665625,0
VER,29.0,MEDIUM,1,84.861,1.0,5970.046,1.0,3,227.27018633540374,0.6739130434782609,0.12732919254658384,0.0,5.649068322981367,0
VER,30.0,MEDIUM,12,85.127,1.0,6055.173,1.0,3,227.7469135802469,0.6697530864197531,0.12037037037037036,0.0,5.601851851851852,0
VER,31.0,MEDIUM,1,84.413,1.0,6139.586,1.0,3,229.55555555555554,0.7006172839506173,0.12345679012345678,0.0,5.685185185185185,0
VER,32.0,MEDIUM,1,84.427,1.0,6224.013,1.0,3,227.33030303030304,0.6818181818181818,0.13333333333333333,0.0,5.633333333333334,0
VER,33.0,MEDIUM,1,84.35,1.0,6308.363,1.0,3,228.9015873015873,0.6793650793650794,0.13968253968253969,0.0,5.707936507936508,0
VER,34.0,MEDIUM,1,84.468,1.0,6392.831,1.0,3,229.10280373831776,0.6884735202492211,0.1277258566978193,0.0,5.672897196261682,0
VER,35.0,MEDIUM,14,92.307,1.0,6485.138,1.0,3,209.6293103448276,0.5660919540229885,0.20402298850574713,0.1724137931034483,5.186781609195402,0
VER,36.0,HARD,4,,1.0,6654.405,1.0,3,115.23510971786834,0.11755485893416928,0.21786833855799373,1.0,2.5219435736677114,0
VER,37.0,HARD,4,,1.0,6822.98,1.0,3,115.49768160741885,0.09119010819165378,0.21947449768160743,1.0,2.438948995363215,0
VER,38.0,HARD,4,,1.0,6974.039,1.0,3,128.20598591549296,0.198943661971831,0.23943661971830985,1.0,2.716549295774648,0
VER,39.0,HARD,41,146.153,1.0,7120.192,1.0,3,133.71790235081374,0.22603978300180833,0.23869801084990958,1.0,2.8390596745027126,0
VER,40.0,HARD,1264,99.436,1.0,7219.628,1.0,3,196.43801652892563,0.46005509641873277,0.20110192837465565,1.0,4.68595041322314,0
VER,41.0,HARD,4,136.076,1.0,7355.704,1.0,3,141.8464566929134,0.2263779527559055,0.25393700787401574,1.0,3.1161417322834644,0
VER,42.0,HARD,41,149.083,1.0,7504.787,1.0,3,130.29837251356238,0.26582278481012656,0.19529837251356238,1.0,2.7884267631103072,0
VER,43.0,HARD,1,84.509,1.0,7589.296,1.0,3,229.2904290429043,0.7095709570957096,0.1419141914191419,1.0,5.574257425742574,0
VER,44.0,HARD,1,83.533,1.0,7672.829,1.0,3,232.5776397515528,0.7236024844720497,0.12422360248447205,0.13664596273291926,5.692546583850931,0
VER,45.0,HARD,1,83.393,1.0,7756.222,1.0,3,232.80258899676375,0.7378640776699029,0.1423948220064725,0.0,5.631067961165049,0
VER,46.0,HARD,1,83.37,1.0,7839.592,1.0,3,231.56962025316454,0.7183544303797469,0.12341772151898735,0.0,5.731012658227848,0
VER,47.0,HARD,1,83.303,1.0,7922.895,1.0,3,233.29073482428115,0.7348242811501597,0.12779552715654952,0.0,5.782747603833866,0
VER,48.0,HARD,1,83.423,1.0,8006.318,1.0,3,231.07911392405063,0.7151898734177216,0.12341772151898735,0.0,5.791139240506329,0
VER,49.0,HARD,1,83.468,1.0,8089.786,1.0,3,232.04761904761904,0.7172619047619048,0.12797619047619047,0.0,5.7023809523809526,0
VER,50.0,HARD,1,83.321,1.0,8173.107,1.0,3,232.90880503144655,0.7044025157232704,0.11635220125786164,0.0,5.767295597484277,0
VER,51.0,HARD,1,83.043,1.0,8256.15,1.0,3,232.44303797468353,0.7056962025316456,0.12341772151898735,0.0,5.7215189873417724,0
VER,52.0,HARD,1,83.162,1.0,8339.312,1.0,3,232.7523510971787,0.7147335423197492,0.14106583072100312,0.0,5.761755485893417,0
VER,53.0,HARD,1,83.132,1.0,8422.444,1.0,3,232.6156351791531,0.7166123778501629,0.1270358306188925,0.0,5.749185667752443,0
VER,54.0,HARD,1,83.006,1.0,8505.45,1.0,3,233.36942675159236,0.7133757961783439,0.1178343949044586,0.0,5.7834394904458595,0
VER,55.0,HARD,1,82.905,1.0,8588.355,1.0,3,231.21311475409837,0.6819672131147541,0.13442622950819672,0.0,5.718032786885246,0
VER,56.0,HARD,1,83.369,1.0,8671.724,1.0,3,232.08653846153845,0.6923076923076923,0.14102564102564102,0.0,5.756410256410256,0
VER,57.0,HARD,1,83.776,1.0,8755.5,1.0,3,230.83495145631068,0.6504854368932039,0.12297734627831715,0.0,5.760517799352751,0
GAS,1.0,MEDIUM,124,130.912,14.0,3421.071,5.0,3,141.05454545454546,0.3090909090909091,0.23636363636363636,1.0,3.4242424242424243,0
GAS,2.0,MEDIUM,4,143.807,12.0,3564.878,5.0,3,134.81399631675876,0.31123388581952116,0.27071823204419887,1.0,3.132596685082873,0
GAS,3.0,MEDIUM,4,139.509,12.0,3704.387,5.0,3,138.46679316888046,0.3377609108159393,0.29601518026565465,1.0,3.1840607210626186,0
GAS,4.0,MEDIUM,41,133.088,12.0,3837.475,5.0,3,144.62524654832347,0.3510848126232742,0.31952662721893493,1.0,3.4142011834319526,0
GAS,5.0,MEDIUM,12,91.425,12.0,3928.9,5.0,3,210.47368421052633,0.5994152046783626,0.19883040935672514,1.0,5.254385964912281,0
