driver,lap_number,compound,track_status,lap_time,position,gap_to_leader,final_position,pit_stop_count,speed_avg,throttle_pct,brake_pct,drs_pct,gear_avg,hard_brakes
SAI,1.0,MEDIUM,124,107.224,4.0,3468.995,1.0,1,132.34663341645884,0.16209476309226933,0.24937655860349128,1.0,3.344139650872818,0
SAI,2.0,MEDIUM,4,137.937,2.0,3606.932,1.0,1,111.17658349328215,0.03262955854126679,0.2763915547024952,1.0,2.4606525911708252,0
SAI,3.0,MEDIUM,4,133.771,2.0,3740.703,1.0,1,113.89151873767258,0.04142011834319527,0.23274161735700197,1.0,2.6252465483234713,0
SAI,4.0,MEDIUM,4,130.043,2.0,3870.746,1.0,1,117.4185110663984,0.060362173038229376,0.2454728370221328,1.0,2.6961770623742454,0
SAI,5.0,MEDIUM,4,129.925,2.0,4000.671,1.0,1,118.19341563786008,0.047325102880658436,0.25925925925925924,1.0,2.567901234567901,0
SAI,6.0,MEDIUM,41,123.834,2.0,4124.505,1.0,1,125.65966386554622,0.15756302521008403,0.40336134453781514,1.0,2.966386554621849,0
SAI,7.0,MEDIUM,1,81.83,2.0,4206.335,1.0,1,187.00996677740864,0.46511627906976744,0.24584717607973422,1.0,4.754152823920266,0
SAI,8.0,MEDIUM,1,81.284,2.0,4287.619,1.0,1,187.73162939297126,0.4504792332268371,0.26517571884984026,0.46645367412140576,4.853035143769968,0
SAI,9.0,MEDIUM,1,82.493,1.0,4370.112,1.0,1,184.29581993569133,0.4533762057877814,0.2508038585209003,0.3536977491961415,4.591639871382637,0
SAI,10.0,MEDIUM,1,82.438,1.0,4452.55,1.0,1,187.72131147540983,0.4557377049180328,0.22295081967213115,0.0,4.819672131147541,0
SAI,11.0,MEDIUM,1,81.847,1.0,4534.397,1.0,1,184.45973154362417,0.4395973154362416,0.23154362416107382,0.0,4.714765100671141,0
SAI,12.0,MEDIUM,1,81.515,1.0,4615.912,1.0,1,188.48692810457516,0.45098039215686275,0.24836601307189543,0.0,4.830065359477124,0
SAI,13.0,MEDIUM,1,81.715,1.0,4697.627,1.0,1,183.69381107491856,0.43322475570032576,0.247557003257329,0.0,4.719869706840391,0
SAI,14.0,MEDIUM,1,81.475,1.0,4779.102,1.0,1,186.77887788778878,0.43234323432343236,0.25412541254125415,0.0,4.8316831683168315,0
SAI,15.0,MEDIUM,1,81.516,1.0,4860.618,1.0,1,187.37864077669903,0.45307443365695793,0.24919093851132687,0.0,4.799352750809062,0
SAI,16.0,MEDIUM,1,81.59,1.0,4942.208,1.0,1,185.717868338558,0.4263322884012539,0.22884012539184953,0.0,4.793103448275862,0
SAI,17.0,MEDIUM,1,82.012,1.0,5024.22,1.0,1,188.26959247648904,0.46394984326018807,0.219435736677116,0.0,4.830721003134796,0
SAI,18.0,MEDIUM,1,81.765,1.0,5105.985,1.0,1,186.08637873754154,0.4418604651162791,0.23588039867109634,0.0,4.750830564784053,0
SAI,19.0,MEDIUM,1,81.715,1.0,5187.7,1.0,1,185.48726114649682,0.43630573248407645,0.23248407643312102,0.0,4.786624203821656,0
SAI,20.0,MEDIUM,1,81.789,1.0,5269.489,1.0,1,188.55593220338983,0.4576271186440678,0.23389830508474577,0.0,4.861016949152543,0
SAI,21.0,MEDIUM,1,81.413,1.0,5350.902,1.0,1,185.4671052631579,0.4342105263157895,0.2532894736842105,0.0,4.809210526315789,0
SAI,22.0,MEDIUM,1,81.682,1.0,5432.584,1.0,1,186.35333333333332,0.45,0.21666666666666667,0.0,4.776666666666666,0
SAI,23.0,MEDIUM,1,81.516,1.0,5514.1,1.0,1,188.9090909090909,0.45454545454545453,0.23376623376623376,0.0,4.8603896103896105,0
SAI,24.0,MEDIUM,1,81.428,1.0,5595.528,1.0,1,184.71604938271605,0.4351851851851852,0.21296296296296297,0.0,4.790123456790123,0
SAI,25.0,MEDIUM,1,81.659,1.0,5677.187,1.0,1,185.64918032786886,0.4459016393442623,0.23934426229508196,0.0,4.80655737704918,0
SAI,26.0,MEDIUM,1,81.596,1.0,5758.783,1.0,1,187.74025974025975,0.4253246753246753,0.2532467532467532,0.0,4.8311688311688314,0
SAI,27.0,MEDIUM,1,81.827,1.0,5840.61,1.0,1,185.33860759493672,0.4430379746835443,0.22784810126582278,0.0,4.794303797468355,0
SAI,28.0,MEDIUM,1,82.008,1.0,5922.618,1.0,1,183.63422818791946,0.4261744966442953,0.2483221476510067,0.0,4.728187919463087,0
SAI,29.0,MEDIUM,1,81.869,1.0,6004.487,1.0,1,184.6440129449838,0.4110032362459547,0.23948220064724918,0.0,4.776699029126213,0
SAI,30.0,MEDIUM,1,81.837,1.0,6086.324,1.0,1,183.3257328990228,0.4169381107491857,0.26384364820846906,0.0,4.7882736156351795,0
SAI,31.0,MEDIUM,1,82.057,1.0,6168.381,1.0,1,188.50314465408806,0.4528301886792453,0.2389937106918239,0.0,4.855345911949685,0
SAI,32.0,MEDIUM,1,85.108,1.0,6253.489,1.0,1,178.14678899082568,0.39755351681957185,0.28440366972477066,0.0,4.581039755351682,0
SAI,33.0,HARD,1,99.813,1.0,6353.302,1.0,1,153.16621253405995,0.3651226158038147,0.23978201634877383,0.0,3.9100817438692097,0
SAI,34.0,HARD,1,81.037,1.0,6434.339,1.0,1,189.44480519480518,0.43506493506493504,0.23376623376623376,0.0,4.824675324675325,0
SAI,35.0,HARD,1,81.19,1.0,6515.529,1.0,1,192.4707792207792,0.44155844155844154,0.2532467532467532,0.0,4.9480519480519485,0
SAI,36.0,HARD,1,81.079,1.0,6596.608,1.0,1,188.42088607594937,0.43670886075949367,0.24050632911392406,0.0,4.841772151898734,0
SAI,37.0,HARD,1,81.153,1.0,6677.761,1.0,1,188.3654485049834,0.45182724252491696,0.2425249169435216,0.0,4.807308970099668,0
SAI,38.0,HARD,1,80.616,1.0,6758.377,1.0,1,189.84641638225256,0.44368600682593856,0.23208191126279865,0.0,4.829351535836177,0
SAI,39.0,HARD,1,80.995,1.0,6839.372,1.0,1,189.27450980392157,0.45751633986928103,0.238562091503268,0.0,4.852941176470588,0
SAI,40.0,HARD,1,80.688,1.0,6920.06,1.0,1,187.2996632996633,0.43097643097643096,0.25925925925925924,0.0,4.7912457912457915,0
SAI,41.0,HARD,1,80.98,1.0,7001.04,1.0,1,188.2941176470588,0.42810457516339867,0.25163398692810457,0.0,4.833333333333333,0
SAI,42.0,HARD,1,80.939,1.0,7081.979,1.0,1,188.55483870967743,0.432258064516129,0.24193548387096775,0.0,4.841935483870968,0
SAI,43.0,HARD,1,80.84,1.0,7162.819,1.0,1,188.32781456953643,0.4304635761589404,0.23841059602649006,0.0,4.798013245033113,0
SAI,44.0,HARD,1,80.806,1.0,7243.625,1.0,1,189.01923076923077,0.46474358974358976,0.23076923076923078,0.0,4.801282051282051,0
SAI,45.0,HARD,1,80.582,1.0,7324.207,1.0,1,190.2019867549669,0.4602649006622517,0.23841059602649006,0.0,4.841059602649007,0
SAI,46.0,HARD,1,80.592,1.0,7404.799,1.0,1,186.93537414965985,0.4387755102040816,0.23469387755102042,0.0,4.7687074829931975,0
SAI,47.0,HARD,1,80.375,1.0,7485.174,1.0,1,185.16171617161717,0.43564356435643564,0.25742574257425743,0.0,4.778877887788779,0
SAI,48.0,HARD,1,80.747,1.0,7565.921,1.0,1,190.02830188679246,0.46226415094339623,0.24842767295597484,0.0,4.886792452830188,0
SAI,49.0,HARD,1,80.815,1.0,7646.736,1.0,1,190.1986531986532,0.4478114478114478,0.2356902356902357,0.0,4.838383838383838,0
SAI,50.0,HARD,1,80.733,1.0,7727.469,1.0,1,188.32,0.45,0.23666666666666666,0.0,4.846666666666667,0
SAI,51.0,HARD,1,80.825,1.0,7808.294,1.0,1,187.50357142857143,0.44642857142857145,0.26071428571428573,0.0,4.7821428571428575,0
SAI,52.0,HARD,1,80.965,1.0,7889.259,1.0,1,189.44210526315788,0.4280701754385965,0.24561403508771928,0.06666666666666667,4.922807017543859,0
SAI,53.0,HARD,1,80.719,1.0,7969.978,1.0,1,188.05537459283389,0.43973941368078173,0.250814332247557,0.0749185667752443,4.843648208469055,0
SAI,54.0,HARD,1,80.65,1.0,8050.628,1.0,1,187.83946488294313,0.45819397993311034,0.24749163879598662,0.0,4.822742474916388,0
SAI,55.0,HARD,1,80.306,1.0,8130.934,1.0,1,190.51724137931035,0.46206896551724136,0.23103448275862068,0.0,4.834482758620689,0
SAI,56.0,HARD,1,80.256,1.0,8211.19,1.0,1,193.1164383561644,0.4794520547945205,0.2226027397260274,0.0,4.958904109589041,0
SAI,57.0,HARD,1,80.315,1.0,8291.505,1.0,1,190.6461038961039,0.4707792207792208,0.21753246753246752,0.0,4.915584415584416,0
SAI,58.0,HARD,1,80.341,1.0,8371.846,1.0,1,186.80781758957656,0.43322475570032576,0.24429967426710097,0.0,4.827361563517916,0
SAI,59.0,HARD,1,80.73,1.0,8452.576,1.0,1,190.2305194805195,0.4448051948051948,0.24675324675324675,0.0,4.9188311688311686,0
