anno,gp,round,lap_number,driver,team,compound,position,final_position,csv_pit_stop_count,elo_driver,elo_team,stint,lap_in_stint,pit_in,pit_out,sector1,sector2,sector3,track_status,lap_time,speed_avg,throttle_pct,brake_pct,drs_pct,gear_avg,lap_time_diff,gap_to_leader_diff,speed_avg_diff,throttle_pct_diff,brake_pct_diff,drs_pct_diff,gear_avg_diff,lap_time_pct,gap_to_leader_pct
2025,Australian Grand Prix,1,1.0,VER,Red Bull Racing,INTERMEDIATE,5,2.0,5,4432.369857068747,6511.2641206232165,0,0,False,False,32.123999999999995,20.705,55.25,124,119.392,156.9777777777778,0.3088888888888889,0.22444444444444445,1.0,3.562222222222222,2.292999999999992,2.2760000000007494,-3.293715434891908,-0.021427853192559077,0.009512317747611854,0.0,-0.08709904474610353,0.11764705882352941,0.11764705882352941
2025,Australian Grand Prix,1,1.0,GAS,Alpine,INTERMEDIATE,12,11.0,5,3412.2685628903964,6179.732930604418,0,0,False,False,31.839,21.554,65.755,124,134.132,141.56349206349208,0.26785714285714285,0.24603174603174602,1.0,3.5476190476190474,17.033,17.002000000000407,-18.70800114917762,-0.06245959922430511,0.031099619334913425,0.0,-0.10170221934927826,0.5294117647058824,0.5294117647058824
2025,Australian Grand Prix,1,1.0,ANT,Mercedes,INTERMEDIATE,16,4.0,5,3911.001226749124,6830.573839968165,0,0,False,False,32.3575,22.829,69.366,124,142.352,135.05046728971962,0.16448598130841122,0.22803738317757008,1.0,3.34392523364486,25.253,25.25,-25.221025922950076,-0.16583076077303674,0.013105256480737487,0.0,-0.30539603332346577,0.7647058823529411,0.7647058823529411
2025,Australian Grand Prix,1,1.0,ALO,Aston Martin,INTERMEDIATE,13,17.0,3,3388.196002914378,6702.505644354316,0,0,False,False,32.778999999999996,22.171,67.034,124,137.178,139.35852713178295,0.23449612403100775,0.2189922480620155,1.0,3.37984496124031,20.078999999999994,20.061999999999898,-20.912966080886747,-0.0958206180504402,0.0040601213651829116,0.0,-0.26947630572801584,0.5882352941176471,0.5882352941176471
2025,Australian Grand Prix,1,1.0,LEC,Ferrari,INTERMEDIATE,8,8.0,5,3860.6332106899445,6717.285590137002,0,0,False,False,32.0835,20.69,62.574,124,128.48,147.4979338842975,0.2644628099173554,0.25826446280991733,1.0,3.5475206611570247,11.380999999999986,11.436999999999898,-12.773559328372187,-0.06585393216409258,0.043332336113084735,0.0,-0.10180060581130101,0.29411764705882354,0.29411764705882354
2025,Australian Grand Prix,1,1.0,STR,Aston Martin,INTERMEDIATE,14,6.0,5,3322.1276255825105,6702.505644354316,0,0,False,False,32.6715,22.125,68.489,124,139.485,137.48282442748092,0.19274809160305342,0.2595419847328244,1.0,3.74618320610687,22.38600000000001,22.327000000000226,-22.788668785188776,-0.13756865047839453,0.04460985803599182,0.0,0.09686193913854435,0.6470588235294118,0.6470588235294118
2025,Australian Grand Prix,1,1.0,TSU,Racing Bulls,INTERMEDIATE,9,12.0,5,3541.580485210199,5795.407550726584,0,0,False,False,31.578,21.598,63.68,124,130.655,144.76626016260164,0.24796747967479674,0.27439024390243905,1.0,3.4735772357723578,13.555999999999997,13.538000000000466,-15.505233050068057,-0.08234926240665122,0.05945811720560645,0.0,-0.17574403119596793,0.35294117647058826,0.35294117647058826
2025,Australian Grand Prix,1,1.0,ALB,Williams,INTERMEDIATE,10,5.0,5,3858.3049219708546,6586.177769902186,0,0,False,False,32.388000000000005,21.334,65.027,124,132.195,143.8734939759036,0.21285140562248997,0.2751004016064257,1.0,3.4879518072289155,15.09599999999999,15.083000000000538,-16.397999236766083,-0.11746533645895799,0.06016827490959309,0.0,-0.1613694597394102,0.4117647058823529,0.4117647058823529
2025,Australian Grand Prix,1,1.0,HUL,Kick Sauber,INTERMEDIATE,15,7.0,5,3382.37027141538,6258.276964026439,0,0,False,False,32.6395,22.276,68.947,124,141.221,136.73446327683615,0.18832391713747645,0.2335216572504708,1.0,3.425612052730697,24.122,24.164999999999964,-23.537029935833544,-0.1419928249439715,0.01858953055363821,0.0,-0.2237092142376289,0.7058823529411765,0.7058823529411765
2025,Australian Grand Prix,1,1.0,LAW,Red Bull Racing,INTERMEDIATE,19,15.0,4,2768.3843947422856,6511.2641206232165,0,0,False,True,32.615,30.971,64.122,124,148.795,126.47311827956989,0.0985663082437276,0.1989247311827957,1.0,3.3405017921146953,31.695999999999984,31.726000000000568,-33.79837493309981,-0.23175043383772037,-0.016007395514036904,0.0,-0.30881947485363037,0.9411764705882353,0.9411764705882353
2025,Australian Grand Prix,1,1.0,OCO,Haas F1 Team,INTERMEDIATE,18,13.0,5,3562.568808483813,6031.4846175349485,0,0,False,False,32.852999999999994,26.46,67.938,124,145.769,132.6021897810219,0.1259124087591241,0.32299270072992703,1.0,3.363138686131387,28.67,28.63300000000072,-27.66930343164779,-0.20440433332232386,0.10806057403309444,0.0,-0.2861825808369387,0.8823529411764706,0.8823529411764706
2025,Australian Grand Prix,1,1.0,NOR,McLaren,INTERMEDIATE,1,1.0,5,4267.06227709915,7325.943033905385,0,0,False,False,31.866,20.913,54.007,124,117.099,160.2714932126697,0.33031674208144796,0.2149321266968326,1.0,3.6493212669683257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705
