driver,lap_number,compound,track_status,lap_time,position,gap_to_leader,final_position,pit_stop_count,speed_avg,throttle_pct,brake_pct,drs_pct,gear_avg,hard_brakes
PIA,1.0,SOFT,1,98.693,1.0,3433.827,1.0,2,189.74801061007958,0.5225464190981433,0.17506631299734748,1.0,4.681697612732095,0
PIA,2.0,SOFT,1,97.492,1.0,3531.319,1.0,2,195.84281842818427,0.5203252032520326,0.1842818428184282,0.008130081300813009,4.978319783197832,0
PIA,3.0,SOFT,1,98.083,1.0,3629.402,1.0,2,196.65384615384616,0.5137362637362637,0.20604395604395603,0.0,4.950549450549451,0
PIA,4.0,SOFT,1,98.133,1.0,3727.535,1.0,2,196.04359673024524,0.5122615803814714,0.1907356948228883,0.0,5.002724795640327,0
PIA,5.0,SOFT,1,98.043,1.0,3825.578,1.0,2,196.99193548387098,0.5241935483870968,0.1989247311827957,0.0,5.03494623655914,0
PIA,6.0,SOFT,1,98.363,1.0,3923.941,1.0,2,198.60055096418733,0.5261707988980716,0.209366391184573,0.0,4.997245179063361,0
PIA,7.0,SOFT,1,98.498,1.0,4022.439,1.0,2,193.05722070844686,0.4986376021798365,0.1989100817438692,0.0,4.961852861035422,0
PIA,8.0,SOFT,1,98.567,1.0,4121.006,1.0,2,196.41643835616438,0.5287671232876713,0.1917808219178082,0.0,5.002739726027397,0
PIA,9.0,SOFT,1,98.8,1.0,4219.806,1.0,2,194.7972972972973,0.5,0.22702702702702704,0.0,5.0,0
PIA,10.0,SOFT,1,98.549,1.0,4318.355,1.0,2,197.5207756232687,0.5373961218836565,0.2188365650969529,0.0,5.085872576177286,0
PIA,11.0,SOFT,1,98.681,1.0,4417.036,1.0,2,196.91644204851752,0.522911051212938,0.215633423180593,0.0,5.067385444743936,0
PIA,12.0,SOFT,1,99.028,1.0,4516.064,1.0,2,194.25205479452055,0.4821917808219178,0.2191780821917808,0.0,4.961643835616439,0
